SpID	SpForm	SpLemma	SpGramCat	SpPersNum	SpNeg	RusID	RusForm	RusLemma	RusGramCat	RusPersNum	RusNeg	Notes	
S17:1	recuerdo	recordar	IndicPres	1sg		R3:1	помню	помнить	ImpPres	1sg			
S17:2	llevó	llevar	IndicPret	3sg		R3:2	повел	повести	PerfPast	SgM			
S17:3	desgranaban	desgranar	IndicIpfct	3pl		R3:3	стояли	стоять	ImpPast	Pl			
S17:4	caminábamos	caminar	IndicIpfct	1pl		R3:4	шли	идти	ImpPast	Pl			
S17:5	atrapado	atrapar	PastPart	NA		R3:5	накрытой	накрыть	PerfPPP	NA			
S17:6	se derramaba	derramarse	IndicIpfct	3sg		R3:8	растекалось	растекаться	ImpPast	SgN			
S17:7	vas a ver	ver	IrIndicPresFut	2sg		R3:6	увидишь	увидеть	PerfFut	2sg			
S17:8	puedes	poder	IndicPres	2sg	no	R3:7	должен	NA	Adj	NA	не		
S17:9	contar	contar	Inf	Inf		R3:9	рассказывать	рассказывать	ImpInf	Inf			
S17:10	advirtió	advirtir	IndicPret	3sg		R3:10	предупредил	предупредить	PerfPast	SgM			
S17:11	inquirí	inquirir	IndicPret	1sg		R3:11	спросил	спросить	PerfPast	SgM			
S17:12	suspiró	suspirar	IndicPret	3sg		R3:12	вздохнул	вздохнуть	PerfPast	SgM			
S17:13	amparado	amparar	PastPart	NA		R3:13	заслонившись	заслониться	PerfPastAP	NA			
S17:14	perseguía	perseguir	IndicIpfct	3sg		R3:14	делала	делать	ImpPast	SgF			
S17:15	respondió	responder	IndicPret	3sg		R3:15	ответил	ответить	PerfPast	SgM			
S17:16	cabizbajo	NA	Adverb	NA		R3:16	потупив	потупить	PerfGer	NA			
S17:17	tenemos	tener	IndicPres	1pl	no	R3:17	нет	NA	нет	NA	нет		
S17:18	puedes	poder	IndicPres	2sg		R3:18	можно	можно	NA	NA			
S17:19	contárselo	contar	Inf	Inf		R3:19	рассказывать	рассказывать	ImpInf	Inf			
S17:20	había llevado	llevar	PrfctPast	3sg		R3:20	умерла	умереть	PerfPast	SgF			
